time	message	trial_number
64988.2533	REC_START	1
64988.2819	TRIAL_START 0	1
67143.52859999999	TRIAL_END 0	1
67143.5319	REC_STOP	1
75350.0463	REC_START	2
75350.0949	TRIAL_START 1	2
78360.84169999999	TRIAL_END 1	2
78360.8447	REC_STOP	2
80225.66159999999	REC_START	3
80225.7003	TRIAL_START 2	3
83369.5296	TRIAL_END 2	3
83369.5319	REC_STOP	3
84724.1595	REC_START	4
84724.1895	TRIAL_START 3	4
90399.6518	TRIAL_END 3	4
90399.65409999999	REC_STOP	4
92053.8583	REC_START	5
92053.88979999999	TRIAL_START 4	5
94975.9047	TRIAL_END 4	5
94975.9076	REC_STOP	5
96096.4916	REC_START	6
96096.52149999999	TRIAL_START 5	6
99040.7678	TRIAL_END 5	6
99040.77029999999	REC_STOP	6
100472.5818	REC_START	7
100472.6207	TRIAL_START 6	7
103183.4145	TRIAL_END 6	7
103183.4173	REC_STOP	7
104315.0299	REC_START	8
104315.06039999999	TRIAL_START 7	8
107791.9901	TRIAL_END 7	8
107791.99269999999	REC_STOP	8
108779.8771	REC_START	9
108779.91019999998	TRIAL_START 8	9
111901.56429999998	TRIAL_END 8	9
111901.56689999999	REC_STOP	9
113266.5064	REC_START	10
113266.54639999999	TRIAL_START 9	10
116266.2608	TRIAL_END 9	10
116266.26379999999	REC_STOP	10
118941.5252	REC_START	11
118941.5566	TRIAL_START 10	11
121997.0164	TRIAL_END 10	11
121997.0192	REC_STOP	11
123195.23749999999	REC_START	12
123195.26929999999	TRIAL_START 11	12
125872.46340000001	TRIAL_END 11	12
125872.4659	REC_STOP	12
126749.18849999999	REC_START	13
126749.2194	TRIAL_START 12	13
131081.7873	TRIAL_END 12	13
131081.7899	REC_STOP	13
133079.9051	REC_START	14
133079.9367	TRIAL_START 13	14
137522.8582	TRIAL_END 13	14
137522.86179999998	REC_STOP	14
138677.25830000002	REC_START	15
138677.3005	TRIAL_START 14	15
141865.775	TRIAL_END 14	15
141865.7781	REC_STOP	15
143553.0041	REC_START	16
143553.0365	TRIAL_START 15	16
146262.88059999997	TRIAL_END 15	16
146262.8835	REC_STOP	16
147517.93219999998	REC_START	17
147517.96469999998	TRIAL_START 16	17
150850.5655	TRIAL_END 16	17
150850.5679	REC_STOP	17
151927.0798	REC_START	18
151927.112	TRIAL_START 17	18
154760.05899999998	TRIAL_END 17	18
154760.0624	REC_STOP	18
155736.924	REC_START	19
155736.9618	TRIAL_START 18	19
158636.06540000002	TRIAL_END 18	19
158636.0686	REC_STOP	19
159556.9791	REC_START	20
159557.0187	TRIAL_START 19	20
162411.5505	TRIAL_END 19	20
162411.55329999997	REC_STOP	20
163377.1959	REC_START	21
163377.22599999997	TRIAL_START 20	21
166754.6597	TRIAL_END 20	21
166754.6629	REC_STOP	21
167597.68959999998	REC_START	22
167597.72139999998	TRIAL_START 21	22
170430.7553	TRIAL_END 21	22
170430.7579	REC_STOP	22
171251.7244	REC_START	23
171251.7584	TRIAL_START 22	23
174329.0687	TRIAL_END 22	23
174329.07169999997	REC_STOP	23
175049.66569999998	REC_START	24
175049.6997	TRIAL_START 23	24
177716.5016	TRIAL_END 23	24
177716.504	REC_STOP	24
178559.857	REC_START	25
178559.89119999998	TRIAL_START 24	25
181448.123	TRIAL_END 24	25
181448.1255	REC_STOP	25
182235.57789999997	REC_START	26
182235.6132	TRIAL_START 25	26
185868.247	TRIAL_END 25	26
185868.24959999998	REC_STOP	26
186644.6168	REC_START	27
186644.6474	TRIAL_START 26	27
189522.8382	TRIAL_END 26	27
189522.8414	REC_STOP	27
190276.5427	REC_START	28
190276.57549999998	TRIAL_START 27	28
193042.889	TRIAL_END 27	28
193042.8919	REC_STOP	28
193775.0801	REC_START	29
193775.11419999998	TRIAL_START 28	29
196341.5328	TRIAL_END 28	29
196341.5355	REC_STOP	29
197273.7015	REC_START	30
197273.741	TRIAL_START 29	30
200217.58749999997	TRIAL_END 29	30
200217.5899	REC_STOP	30
201026.66449999998	REC_START	31
201026.7029	TRIAL_START 30	31
203660.0034	TRIAL_END 30	31
203660.00629999998	REC_STOP	31
204492.6011	REC_START	32
204492.6322	TRIAL_START 31	32
208114.09889999998	TRIAL_END 31	32
208114.10129999998	REC_STOP	32
208890.6697	REC_START	33
208890.7007	TRIAL_START 32	33
211701.4405	TRIAL_END 32	33
211701.4428	REC_STOP	33
212633.4971	REC_START	34
212633.52969999998	TRIAL_START 33	34
215376.57729999998	TRIAL_END 33	34
215376.5798	REC_STOP	34
216209.11279999997	REC_START	35
216209.147	TRIAL_START 34	35
219275.6223	TRIAL_END 34	35
219275.625	REC_STOP	35
220262.9637	REC_START	36
220262.9958	TRIAL_START 35	36
223662.4454	TRIAL_END 35	36
223662.44809999998	REC_STOP	36
224327.9934	REC_START	37
224328.0256	TRIAL_START 36	37
227760.11169999998	TRIAL_END 36	37
227760.1147	REC_STOP	37
228548.37079999998	REC_START	38
228548.4018	TRIAL_START 37	38
231791.2883	TRIAL_END 37	38
231791.2922	REC_STOP	38
232657.6285	REC_START	39
232657.66409999997	TRIAL_START 38	39
236101.2984	TRIAL_END 38	39
236101.3007	REC_STOP	39
237021.536	REC_START	40
237021.5673	TRIAL_START 39	40
240032.72809999998	TRIAL_END 39	40
240032.7304	REC_STOP	40
240931.26309999998	REC_START	41
240931.2963	TRIAL_START 40	41
243942.3008	TRIAL_END 40	41
243942.30309999996	REC_STOP	41
244607.3351	REC_START	42
244607.3741	TRIAL_START 41	42
249439.62589999998	TRIAL_END 41	42
249439.6291	REC_STOP	42
250604.5111	REC_START	43
250604.54449999996	TRIAL_START 42	43
253549.0464	TRIAL_END 42	43
253549.0491	REC_STOP	43
254503.41999999998	REC_START	44
254503.4624	TRIAL_START 43	44
257547.2972	TRIAL_END 43	44
257547.29959999997	REC_STOP	44
258434.71449999997	REC_START	45
258434.74579999998	TRIAL_START 44	45
261324.25439999998	TRIAL_END 44	45
261324.25710000002	REC_STOP	45
262254.8286	REC_START	46
262254.86089999997	TRIAL_START 45	46
264966.3221	TRIAL_END 45	46
264966.3259	REC_STOP	46
265842.9457	REC_START	47
265842.991	TRIAL_START 46	47
268953.5482	TRIAL_END 46	47
268953.55059999996	REC_STOP	47
269929.1505	REC_START	48
269929.1826	TRIAL_START 47	48
273739.525	TRIAL_END 47	48
273739.5289	REC_STOP	48
274561.1885	REC_START	49
274561.2215	TRIAL_START 48	49
277193.5602	TRIAL_END 48	49
277193.56299999997	REC_STOP	49
277981.79669999995	REC_START	50
277981.8279	TRIAL_START 49	50
281025.7157	TRIAL_END 49	50
281025.7205	REC_STOP	50
282058.0708	REC_START	51
282058.1025	TRIAL_START 50	51
286278.3647	TRIAL_END 50	51
286278.368	REC_STOP	51
287133.0086	REC_START	52
287133.0503	TRIAL_START 51	52
289866.1702	TRIAL_END 51	52
289866.1725	REC_STOP	52
290697.861	REC_START	53
290697.8928	TRIAL_START 52	53
293564.5751	TRIAL_END 52	53
293564.57779999997	REC_STOP	53
294407.75889999996	REC_START	54
294407.8038	TRIAL_START 53	54
297273.98089999997	TRIAL_END 53	54
297273.984	REC_STOP	54
298172.6668	REC_START	55
298172.6994	TRIAL_START 54	55
302105.0748	TRIAL_END 54	55
302105.07759999996	REC_STOP	55
302926.29539999994	REC_START	56
302926.3267	TRIAL_START 55	56
305970.2289	TRIAL_END 55	56
305970.23179999995	REC_STOP	56
306713.1442	REC_START	57
306713.174	TRIAL_START 56	57
310911.665	TRIAL_END 56	57
310911.6674	REC_STOP	57
311943.89389999997	REC_START	58
311943.92439999996	TRIAL_START 57	58
314899.5445	TRIAL_END 57	58
314899.5472	REC_STOP	58
315864.83770000003	REC_START	59
315864.892	TRIAL_START 58	59
318520.1866	TRIAL_END 58	59
318520.1895	REC_STOP	59
319362.89519999997	REC_START	60
319362.927	TRIAL_START 59	60
322474.24559999997	TRIAL_END 59	60
322474.2488	REC_STOP	60
323350.4371	REC_START	61
323350.4714	TRIAL_START 60	61
326138.88399999996	TRIAL_END 60	61
326138.8864	REC_STOP	61
326926.6167	REC_START	62
326926.6482	TRIAL_START 61	62
329604.0519	TRIAL_END 61	62
329604.0544	REC_STOP	62
330358.13609999995	REC_START	63
330358.16919999995	TRIAL_START 62	63
332969.3163	TRIAL_END 62	63
332969.3191	REC_STOP	63
333868.0066	REC_START	64
333868.04219999997	TRIAL_START 63	64
337689.3416	TRIAL_END 63	64
337689.34459999995	REC_STOP	64
338610.2091	REC_START	65
338610.2421	TRIAL_START 64	65
341665.4357	TRIAL_END 64	65
341665.43809999997	REC_STOP	65
342475.4365	REC_START	66
342475.4848	TRIAL_START 65	66
346973.82849999995	TRIAL_END 65	66
346973.8309	REC_STOP	66
347838.5533	REC_START	67
347838.6011	TRIAL_START 66	67
350771.8696	TRIAL_END 66	67
350771.872	REC_STOP	67
351582.1883	REC_START	68
351582.2232	TRIAL_START 67	68
354304.19039999996	TRIAL_END 67	68
354304.19299999997	REC_STOP	68
355079.7842	REC_START	69
355079.81680000003	TRIAL_START 68	69
357802.8132	TRIAL_END 68	69
357802.81659999996	REC_STOP	69
358567.6201	REC_START	70
358567.65150000004	TRIAL_START 69	70
361400.7208	TRIAL_END 69	70
361400.72329999995	REC_STOP	70
362266.097	REC_START	71
362266.12789999996	TRIAL_START 70	71
367098.4825	TRIAL_END 70	71
367098.48539999995	REC_STOP	71
368085.28229999996	REC_START	72
368085.31389999995	TRIAL_START 71	72
370785.54959999997	TRIAL_END 71	72
370785.55199999997	REC_STOP	72
371561.98699999996	REC_START	73
371562.018	TRIAL_START 72	73
374316.8821	TRIAL_END 72	73
374316.88499999995	REC_STOP	73
375138.157	REC_START	74
375138.1914	TRIAL_START 73	74
378171.25299999997	TRIAL_END 73	74
378171.2557	REC_STOP	74
379081.04809999996	REC_START	75
379081.081	TRIAL_START 74	75
382113.8377	TRIAL_END 74	75
382113.8411	REC_STOP	75
383267.6743	REC_START	76
383267.7059	TRIAL_START 75	76
386189.8891	TRIAL_END 75	76
386189.89239999995	REC_STOP	76
387132.7536	REC_START	77
387132.7865	TRIAL_START 76	77
389855.0212	TRIAL_END 76	77
389855.0237	REC_STOP	77
390864.7791	REC_START	78
390864.811	TRIAL_START 77	78
394963.3991	TRIAL_END 77	78
394963.4017	REC_STOP	78
395828.5699	REC_START	79
395828.6141	TRIAL_START 78	79
398906.4189	TRIAL_END 78	79
398906.42199999996	REC_STOP	79
400038.4032	REC_START	80
400038.436	TRIAL_START 79	80
403193.5	TRIAL_END 79	80
403193.5026	REC_STOP	80
